SubtitleIndex,OriginalWPM,OriginalCPM,OriginalRowCount,OriginalCharactersPerRow,TranslationWPM,TranslationCPM,TranslationRowCount,TranslationCharactersPerRow,isOriginalWPMGood,isOriginalCPSGood,isOriginalRowCountGood,isOriginalCharacterCountGood,isTranslationWPMGood,isTranslationCPSGood,isTranslationRowCountGood,isTranslationCharacterCountGood,isOriginalGoodWPM,isTranslationGoodWPM,isOriginalGoodCPS,isTranslationGoodCPS
269,122.449,13.776,1,27,122.449,13.265,1,26,True,True,True,True,True,True,True,True,True,True,True,True
270,147.601,12.915,1,21,147.601,12.3,1,20,True,True,True,True,True,True,True,True,True,True,True,True
271,199.867,17.988,1,27,279.813,22.652,1,34,False,False,True,True,False,False,True,True,False,False,False,False
272,235.849,21.619,2,55,141.509,14.937,2,38,False,False,True,True,True,True,True,True,False,True,False,True
273,155.44,16.192,1,25,116.58,16.192,1,25,True,True,True,True,True,True,True,True,True,True,True,True
274,156.024,15.602,2,54,190.696,19.07,2,66,True,True,True,True,False,False,True,True,True,False,True,False
275,198.347,17.355,1,21,198.347,21.488,1,26,False,False,True,True,False,False,True,True,False,False,False,False
276,182.718,17.13,2,45,137.038,15.988,2,42,False,False,True,True,True,True,True,True,False,True,False,True
277,250.906,19.236,2,69,183.998,18.4,2,66,False,False,True,False,False,False,True,True,False,False,False,False
278,110.619,10.324,1,28,88.496,8.481,1,23,True,True,True,True,True,True,True,True,True,True,True,True
279,221.3,17.981,1,39,165.975,13.831,1,30,False,False,True,False,False,True,True,True,False,False,False,True
280,221.402,20.295,1,33,221.402,17.835,1,29,False,False,True,True,False,False,True,True,False,False,False,False
281,195.043,19.911,2,49,195.043,19.504,2,48,False,False,True,True,False,False,True,True,False,False,False,False
282,99.174,6.612,1,8,99.174,7.438,1,9,True,True,True,True,True,True,True,True,True,True,True,True
283,123.288,15.068,1,22,123.288,13.699,1,20,True,True,True,True,True,True,True,True,True,True,True,True
284,261.552,19.18,2,44,209.241,16.565,2,38,False,False,True,True,False,True,True,True,False,False,False,True
285,205.479,19.692,1,23,205.479,17.979,1,21,False,False,True,True,False,False,True,True,False,False,False,False
286,143.885,15.588,1,26,143.885,15.588,1,26,True,True,True,True,True,True,True,True,True,True,True,True
287,137.025,14.559,2,51,171.282,15.13,2,53,True,True,True,False,False,True,True,True,False,False,False,True
288,213.144,15.098,1,17,159.858,12.433,1,14,False,True,True,True,False,True,True,True,False,False,True,True
289,66.89,8.361,1,15,66.89,8.361,1,15,True,True,True,True,True,True,True,True,True,True,True,True
290,187.598,18.239,1,35,156.331,18.76,1,36,False,False,True,True,False,False,True,True,False,False,False,False
291,112.782,8.929,1,19,112.782,12.688,1,27,True,True,True,True,True,True,True,True,True,True,True,True
292,261.601,19.931,2,64,205.543,20.866,2,67,False,False,True,False,False,False,True,True,False,False,False,False
293,232.019,18.561,2,48,116.009,9.281,2,24,False,False,True,True,True,True,True,True,False,True,False,True
294,133.779,13.935,1,25,133.779,15.05,1,27,True,True,True,True,True,True,True,True,True,True,True,True
295,123.288,10.959,1,16,123.288,13.014,1,19,True,True,True,True,True,True,True,True,True,True,True,True
296,188.679,18.082,2,46,165.094,18.082,2,46,False,False,True,True,False,False,True,True,False,False,False,False
297,156.413,11.992,1,23,187.696,15.12,1,29,True,True,True,True,False,True,True,True,True,False,True,True
298,258.144,19.668,1,32,221.266,17.21,1,28,False,False,True,True,False,False,True,True,False,False,False,False
299,248.963,22.591,2,49,248.963,26.74,2,58,False,False,True,True,False,False,True,True,False,False,False,False
300,174.355,15.619,2,43,152.561,12.713,2,35,True,True,True,True,False,True,True,True,True,False,True,True
301,218.978,20.855,2,40,187.696,18.77,2,36,False,False,True,True,False,False,True,True,False,False,False,False
302,253.879,24.33,2,69,211.566,26.446,2,75,False,False,True,True,False,False,True,False,False,False,False,False
303,229.326,19.805,2,57,229.326,20.848,2,60,False,False,True,False,False,False,True,True,False,False,False,False
304,218.864,19.281,1,37,187.598,20.844,2,40,False,False,True,True,False,False,True,True,False,False,False,False
305,130.719,11.619,1,16,87.146,8.715,1,12,True,True,True,True,True,True,True,True,True,True,True,True
306,179.91,18.741,1,25,269.865,22.489,1,30,True,False,True,True,False,False,True,True,True,False,False,False
307,130.814,16.715,1,23,87.209,10.901,1,15,True,True,True,True,True,True,True,True,True,True,True,True
